plate,gt_comp,gt_label,pred_label,conf,region_area_ratio,pred_weight_g,gt_weight_g
mixed/plate_0021.jpg,1,8,8,0.973,0.088,220.0,228.2
mixed/plate_0022.jpg,0,33,33,0.999,0.111,220.0,204.2
mixed/plate_0022.jpg,1,42,14,0.862,0.099,300.0,320.1
mixed/plate_0023.jpg,1,27,27,0.708,0.132,150.0,135.9
mixed/plate_0023.jpg,0,39,39,0.998,0.102,300.0,244.7
mixed/plate_0024.jpg,0,30,11,0.787,0.125,220.0,295.6
mixed/plate_0024.jpg,1,14,14,0.977,0.093,300.0,337.1
mixed/plate_0025.jpg,0,44,44,0.999,0.094,300.0,258.0
mixed/plate_0025.jpg,1,29,29,0.469,0.087,220.0,174.9
mixed/plate_0026.jpg,0,45,45,0.95,0.084,120.0,102.3
mixed/plate_0026.jpg,1,34,34,0.899,0.067,220.0,233.7
mixed/plate_0027.jpg,1,42,14,0.827,0.107,300.0,293.3
mixed/plate_0027.jpg,0,25,25,0.995,0.097,150.0,178.8
mixed/plate_0028.jpg,0,41,41,0.635,0.125,300.0,236.4
mixed/plate_0028.jpg,1,32,4,0.61,0.093,220.0,219.5
mixed/plate_0029.jpg,0,25,25,1.0,0.134,150.0,112.3
mixed/plate_0029.jpg,1,27,27,0.878,0.06,150.0,126.1
mixed/plate_0030.jpg,1,0,0,0.998,0.108,220.0,206.7
mixed/plate_0030.jpg,0,17,17,0.99,0.1,300.0,289.3
mixed/plate_0031.jpg,0,41,41,0.725,0.128,300.0,339.2
mixed/plate_0031.jpg,1,38,38,0.974,0.083,300.0,241.6
mixed/plate_0032.jpg,1,23,23,1.0,0.109,150.0,155.2
mixed/plate_0032.jpg,0,31,30,0.491,0.097,220.0,205.5
mixed/plate_0033.jpg,1,31,31,0.671,0.116,220.0,240.4
mixed/plate_0033.jpg,0,44,44,0.652,0.108,300.0,305.3
mixed/plate_0034.jpg,1,31,31,0.732,0.106,220.0,240.4
mixed/plate_0034.jpg,0,49,48,0.842,0.092,300.0,150.9
mixed/plate_0035.jpg,0,42,42,0.951,0.115,300.0,307.6
mixed/plate_0035.jpg,1,2,18,0.488,0.083,220.0,227.7
mixed/plate_0036.jpg,1,6,6,0.913,0.124,220.0,246.9
mixed/plate_0036.jpg,0,29,29,0.534,0.119,220.0,174.9
mixed/plate_0037.jpg,0,45,45,0.945,0.11,120.0,102.3
mixed/plate_0037.jpg,1,32,4,0.618,0.086,220.0,219.5
mixed/plate_0038.jpg,0,11,11,0.433,0.091,220.0,232.9
mixed/plate_0038.jpg,1,27,27,0.867,0.085,150.0,157.3
mixed/plate_0039.jpg,1,41,41,0.636,0.102,300.0,339.2
mixed/plate_0039.jpg,0,4,32,0.585,0.1,220.0,191.5
mixed/plate_0040.jpg,0,23,23,0.965,0.129,150.0,141.7
mixed/plate_0040.jpg,1,6,6,0.99,0.103,220.0,246.9
mixed/plate_0041.jpg,1,9,9,0.942,0.096,120.0,106.8
mixed/plate_0041.jpg,0,26,26,0.743,0.092,120.0,118.6
mixed/plate_0042.jpg,0,5,5,0.941,0.128,220.0,270.4
mixed/plate_0042.jpg,1,0,0,0.999,0.102,220.0,190.9
mixed/plate_0043.jpg,1,5,5,0.91,0.105,220.0,199.8
mixed/plate_0043.jpg,0,34,34,0.987,0.089,220.0,225.0
mixed/plate_0044.jpg,0,15,37,0.766,0.104,300.0,314.0
mixed/plate_0044.jpg,1,7,7,0.665,0.092,220.0,205.5
mixed/plate_0045.jpg,0,48,48,0.571,0.128,300.0,247.1
mixed/plate_0045.jpg,1,34,34,0.805,0.102,220.0,170.7
mixed/plate_0046.jpg,0,48,48,0.613,0.111,300.0,320.9
mixed/plate_0046.jpg,1,40,40,0.633,0.107,300.0,287.5
mixed/plate_0047.jpg,1,20,20,0.846,0.107,150.0,136.8
mixed/plate_0047.jpg,0,0,0,0.993,0.097,220.0,124.0
mixed/plate_0048.jpg,0,36,36,1.0,0.133,120.0,122.0
mixed/plate_0048.jpg,1,49,49,0.707,0.064,150.0,104.6
mixed/plate_0049.jpg,0,46,46,0.788,0.102,150.0,187.9
mixed/plate_0049.jpg,1,8,8,0.77,0.085,220.0,272.5
mixed/plate_0050.jpg,1,37,37,0.882,0.123,300.0,348.7
mixed/plate_0050.jpg,0,30,31,0.339,0.102,220.0,201.4
mixed/plate_0051.jpg,0,44,44,0.979,0.137,300.0,307.6
mixed/plate_0051.jpg,1,32,32,0.955,0.105,220.0,246.1
mixed/plate_0052.jpg,0,26,45,0.512,0.121,120.0,91.7
mixed/plate_0052.jpg,1,42,42,0.947,0.087,300.0,292.0
mixed/plate_0053.jpg,0,37,37,0.839,0.089,300.0,274.2
mixed/plate_0053.jpg,1,19,19,1.0,0.084,120.0,76.0
mixed/plate_0054.jpg,0,24,24,1.0,0.106,120.0,76.8
mixed/plate_0054.jpg,1,9,9,0.711,0.104,120.0,126.3
mixed/plate_0055.jpg,0,24,24,0.996,0.091,120.0,153.1
mixed/plate_0055.jpg,1,0,0,0.978,0.089,220.0,267.9
mixed/plate_0056.jpg,1,3,3,0.745,0.107,220.0,214.0
mixed/plate_0056.jpg,0,4,4,0.884,0.085,220.0,203.2
mixed/plate_0057.jpg,0,22,22,0.998,0.095,120.0,132.9
mixed/plate_0057.jpg,1,49,49,0.999,0.092,150.0,134.9
mixed/plate_0058.jpg,0,32,32,0.903,0.115,220.0,269.2
mixed/plate_0058.jpg,1,30,30,0.916,0.095,220.0,229.7
mixed/plate_0059.jpg,0,19,19,1.0,0.114,120.0,54.0
mixed/plate_0059.jpg,1,28,28,0.998,0.064,220.0,187.5
mixed/plate_0060.jpg,1,29,29,0.952,0.098,220.0,215.9
mixed/plate_0060.jpg,0,31,31,0.661,0.082,220.0,240.5
mixed/plate_0061.jpg,0,10,10,0.991,0.122,220.0,197.8
mixed/plate_0061.jpg,1,9,9,0.979,0.112,120.0,102.1
mixed/plate_0062.jpg,1,27,27,0.627,0.135,150.0,122.7
mixed/plate_0062.jpg,0,13,13,0.465,0.099,220.0,234.1
mixed/plate_0063.jpg,0,29,29,0.956,0.118,220.0,186.0
mixed/plate_0063.jpg,1,38,38,1.0,0.062,300.0,277.4
mixed/plate_0064.jpg,1,4,4,0.687,0.136,220.0,268.6
mixed/plate_0064.jpg,0,45,45,0.986,0.118,120.0,112.9
mixed/plate_0065.jpg,1,12,12,0.985,0.12,220.0,246.3
mixed/plate_0065.jpg,0,2,2,0.836,0.089,220.0,206.5
mixed/plate_0066.jpg,0,2,8,0.637,0.109,220.0,234.2
mixed/plate_0066.jpg,1,41,40,0.543,0.108,300.0,329.9
mixed/plate_0067.jpg,0,28,28,0.931,0.13,220.0,216.9
mixed/plate_0067.jpg,1,48,48,0.948,0.108,300.0,335.9
mixed/plate_0068.jpg,0,30,30,0.831,0.097,220.0,229.7
mixed/plate_0068.jpg,1,45,45,0.984,0.094,120.0,99.5
mixed/plate_0069.jpg,1,41,41,0.948,0.114,300.0,260.3
mixed/plate_0069.jpg,0,8,8,0.621,0.109,220.0,200.4
mixed/plate_0070.jpg,1,8,8,0.967,0.095,220.0,201.9
mixed/plate_0070.jpg,0,33,33,0.907,0.091,220.0,241.5
mixed/plate_0071.jpg,1,24,24,0.996,0.122,120.0,124.9
mixed/plate_0071.jpg,0,11,10,0.723,0.112,220.0,285.2
mixed/plate_0072.jpg,0,34,34,0.688,0.117,220.0,185.6
mixed/plate_0072.jpg,1,26,26,0.828,0.103,120.0,107.8
mixed/plate_0073.jpg,0,19,35,0.809,0.098,220.0,112.5
mixed/plate_0073.jpg,2,22,22,0.965,0.07,120.0,110.4
mixed/plate_0073.jpg,1,11,10,0.664,0.064,220.0,285.2
mixed/plate_0074.jpg,0,31,31,0.583,0.096,220.0,218.5
mixed/plate_0074.jpg,2,26,45,0.661,0.089,120.0,91.7
mixed/plate_0074.jpg,1,49,48,0.724,0.057,300.0,145.5
mixed/plate_0075.jpg,1,33,33,0.999,0.089,220.0,204.2
mixed/plate_0075.jpg,2,30,31,0.384,0.076,220.0,242.2
mixed/plate_0075.jpg,0,20,20,0.388,0.073,150.0,148.8
mixed/plate_0076.jpg,1,17,17,0.495,0.106,300.0,316.4
mixed/plate_0076.jpg,2,6,21,0.582,0.088,150.0,211.7
mixed/plate_0076.jpg,0,33,33,0.66,0.081,220.0,171.2
mixed/plate_0077.jpg,0,5,8,0.371,0.091,220.0,197.0
mixed/plate_0077.jpg,1,29,29,0.992,0.085,220.0,219.5
mixed/plate_0077.jpg,2,41,3,0.512,0.062,220.0,350.8
mixed/plate_0078.jpg,0,42,42,0.981,0.088,300.0,331.2
mixed/plate_0078.jpg,2,1,1,0.976,0.082,220.0,282.2
mixed/plate_0078.jpg,1,11,11,0.96,0.072,220.0,240.1
mixed/plate_0079.jpg,0,35,19,0.998,0.093,120.0,158.2
mixed/plate_0079.jpg,1,43,43,1.0,0.091,300.0,287.9
mixed/plate_0079.jpg,2,36,36,0.998,0.057,120.0,109.0
mixed/plate_0080.jpg,1,45,45,0.99,0.09,120.0,89.6
mixed/plate_0080.jpg,0,39,39,0.536,0.084,300.0,342.9
mixed/plate_0080.jpg,2,17,17,0.92,0.08,300.0,308.5
mixed/plate_0081.jpg,1,36,36,1.0,0.096,120.0,111.0
mixed/plate_0081.jpg,0,13,13,0.232,0.083,220.0,234.1
mixed/plate_0081.jpg,2,18,18,0.901,0.064,220.0,250.1
mixed/plate_0082.jpg,0,35,35,0.999,0.098,220.0,262.5
mixed/plate_0082.jpg,1,8,8,0.92,0.08,220.0,269.5
mixed/plate_0082.jpg,2,6,6,0.945,0.08,220.0,214.1
mixed/plate_0083.jpg,1,6,6,0.998,0.098,220.0,255.1
mixed/plate_0083.jpg,0,10,10,0.985,0.09,220.0,247.6
mixed/plate_0083.jpg,2,43,43,0.962,0.067,300.0,350.1
mixed/plate_0084.jpg,1,41,3,0.499,0.087,220.0,350.8
mixed/plate_0084.jpg,0,11,30,0.667,0.085,220.0,248.7
mixed/plate_0084.jpg,2,40,40,0.543,0.06,300.0,323.0
mixed/plate_0085.jpg,0,17,17,0.877,0.095,300.0,285.3
mixed/plate_0085.jpg,2,4,33,0.675,0.092,220.0,210.0
mixed/plate_0085.jpg,1,37,37,0.56,0.064,300.0,332.3
mixed/plate_0086.jpg,2,0,0,0.984,0.083,220.0,267.9
mixed/plate_0086.jpg,1,4,32,0.705,0.072,220.0,191.5
mixed/plate_0086.jpg,0,16,16,0.984,0.072,300.0,275.4
mixed/plate_0087.jpg,1,3,3,0.829,0.085,220.0,241.6
mixed/plate_0087.jpg,0,0,0,0.999,0.076,220.0,176.5
mixed/plate_0087.jpg,2,6,6,0.949,0.068,220.0,160.8
mixed/plate_0088.jpg,2,43,43,1.0,0.077,300.0,263.2
mixed/plate_0088.jpg,0,7,7,0.937,0.074,220.0,210.8
mixed/plate_0088.jpg,1,6,40,0.635,0.067,300.0,224.3
mixed/plate_0089.jpg,0,20,20,0.889,0.083,150.0,136.8
mixed/plate_0089.jpg,1,49,49,0.564,0.064,150.0,174.9
mixed/plate_0089.jpg,2,29,29,0.417,0.052,220.0,218.3
mixed/plate_0090.jpg,1,39,39,0.999,0.107,300.0,318.1
mixed/plate_0090.jpg,0,45,45,0.918,0.093,120.0,113.9
mixed/plate_0090.jpg,2,2,2,0.86,0.079,220.0,237.2
mixed/plate_0091.jpg,1,38,38,1.0,0.099,300.0,277.4
mixed/plate_0091.jpg,2,29,29,0.973,0.074,220.0,240.0
mixed/plate_0091.jpg,0,13,13,0.998,0.072,220.0,216.1
mixed/plate_0092.jpg,0,43,43,0.99,0.093,300.0,274.3
mixed/plate_0092.jpg,2,32,32,0.994,0.082,220.0,205.6
mixed/plate_0092.jpg,1,23,23,1.0,0.075,150.0,155.2
mixed/plate_0093.jpg,1,22,22,0.979,0.1,120.0,106.5
mixed/plate_0093.jpg,0,18,18,0.864,0.078,220.0,216.9
mixed/plate_0093.jpg,2,3,3,0.984,0.044,220.0,243.1
mixed/plate_0094.jpg,2,44,44,0.973,0.083,300.0,286.2
mixed/plate_0094.jpg,1,18,18,0.799,0.081,220.0,246.9
mixed/plate_0094.jpg,0,1,1,0.979,0.075,220.0,282.2
mixed/plate_0095.jpg,2,19,19,0.999,0.104,120.0,92.6
mixed/plate_0095.jpg,0,49,48,0.813,0.096,300.0,150.9
mixed/plate_0095.jpg,1,7,7,0.995,0.092,220.0,193.8
mixed/plate_0096.jpg,1,34,34,0.701,0.084,220.0,233.7
mixed/plate_0096.jpg,0,1,1,0.835,0.083,220.0,185.9
mixed/plate_0096.jpg,2,21,21,1.0,0.073,150.0,154.0
mixed/plate_0097.jpg,1,7,7,1.0,0.087,220.0,169.1
mixed/plate_0097.jpg,0,46,46,1.0,0.071,150.0,109.7
mixed/plate_0097.jpg,2,10,10,0.996,0.058,220.0,247.0
mixed/plate_0098.jpg,0,2,18,0.501,0.091,220.0,227.7
mixed/plate_0098.jpg,1,8,41,0.565,0.082,300.0,230.4
mixed/plate_0098.jpg,2,33,33,0.997,0.069,220.0,202.9
mixed/plate_0099.jpg,2,1,1,0.989,0.098,220.0,206.4
mixed/plate_0099.jpg,1,19,19,0.999,0.094,120.0,92.6
mixed/plate_0099.jpg,0,41,41,0.512,0.072,300.0,303.9
mixed/plate_0100.jpg,1,26,26,0.998,0.092,120.0,143.1
mixed/plate_0100.jpg,2,24,24,0.998,0.077,120.0,124.9
mixed/plate_0100.jpg,0,22,22,0.998,0.065,120.0,107.5
mixed/plate_0101.jpg,0,42,42,0.871,0.084,300.0,292.0
mixed/plate_0101.jpg,2,49,49,0.449,0.083,150.0,202.9
mixed/plate_0101.jpg,1,14,14,0.917,0.07,300.0,295.0
mixed/plate_0102.jpg,0,1,1,0.487,0.078,220.0,247.4
mixed/plate_0102.jpg,1,42,42,0.893,0.074,300.0,272.4
mixed/plate_0102.jpg,2,45,45,0.986,0.074,120.0,112.9
mixed/plate_0103.jpg,0,25,25,1.0,0.096,150.0,112.3
mixed/plate_0103.jpg,2,9,9,0.797,0.075,120.0,106.8
mixed/plate_0103.jpg,1,16,16,0.96,0.062,300.0,305.5
mixed/plate_0104.jpg,0,17,17,0.964,0.1,300.0,314.3
mixed/plate_0104.jpg,2,30,30,0.387,0.084,220.0,275.7
mixed/plate_0104.jpg,1,34,34,0.97,0.074,220.0,224.8
mixed/plate_0105.jpg,0,8,8,0.932,0.086,220.0,269.5
mixed/plate_0105.jpg,1,40,40,0.587,0.072,300.0,287.5
mixed/plate_0105.jpg,2,37,37,0.789,0.063,300.0,274.2
mixed/plate_0106.jpg,0,2,2,0.843,0.093,220.0,265.7
mixed/plate_0106.jpg,2,32,32,0.633,0.093,220.0,231.4
mixed/plate_0106.jpg,1,41,41,0.49,0.087,300.0,363.0
mixed/plate_0107.jpg,2,47,42,0.783,0.088,300.0,159.9
mixed/plate_0107.jpg,0,33,33,0.956,0.084,220.0,226.6
mixed/plate_0107.jpg,1,48,48,0.808,0.082,300.0,272.4
mixed/plate_0108.jpg,0,0,0,0.987,0.09,220.0,234.7
mixed/plate_0108.jpg,1,40,40,0.776,0.089,300.0,309.1
mixed/plate_0108.jpg,2,15,15,0.56,0.08,300.0,298.6
mixed/plate_0109.jpg,1,32,32,0.838,0.069,220.0,204.8
mixed/plate_0109.jpg,2,9,9,0.987,0.069,120.0,132.2
mixed/plate_0109.jpg,0,43,43,0.913,0.066,300.0,287.1
mixed/plate_0109.jpg,3,47,47,0.994,0.06,150.0,164.9
mixed/plate_0110.jpg,2,21,21,1.0,0.076,150.0,160.9
mixed/plate_0110.jpg,0,35,35,0.551,0.072,220.0,235.9
mixed/plate_0110.jpg,1,17,17,0.31,0.062,300.0,276.6
mixed/plate_0110.jpg,3,12,31,0.307,0.056,220.0,262.7
mixed/plate_0111.jpg,3,43,43,0.999,0.075,300.0,289.7
mixed/plate_0111.jpg,2,30,11,0.546,0.07,220.0,204.6
mixed/plate_0111.jpg,0,29,29,0.897,0.058,220.0,215.9
mixed/plate_0111.jpg,1,35,35,0.999,0.052,220.0,262.5
mixed/plate_0112.jpg,0,40,40,0.738,0.076,300.0,309.1
mixed/plate_0112.jpg,1,26,26,0.994,0.071,120.0,119.9
mixed/plate_0112.jpg,2,9,9,0.986,0.062,120.0,102.1
mixed/plate_0112.jpg,3,31,31,0.919,0.048,220.0,267.0
mixed/plate_0113.jpg,2,40,40,0.568,0.072,300.0,323.0
mixed/plate_0113.jpg,3,11,11,0.954,0.072,220.0,247.2
mixed/plate_0113.jpg,0,26,26,0.989,0.071,120.0,104.0
mixed/plate_0113.jpg,1,2,2,0.783,0.062,220.0,265.7
mixed/plate_0114.jpg,2,8,8,0.936,0.084,220.0,213.7
mixed/plate_0114.jpg,1,16,16,0.998,0.07,300.0,318.8
mixed/plate_0114.jpg,0,46,46,1.0,0.065,150.0,142.7
mixed/plate_0114.jpg,3,45,45,0.98,0.062,120.0,112.9
mixed/plate_0115.jpg,2,37,37,0.858,0.084,300.0,249.7
mixed/plate_0115.jpg,3,19,19,1.0,0.068,120.0,76.0
mixed/plate_0115.jpg,1,44,16,0.86,0.058,300.0,353.1
mixed/plate_0115.jpg,0,13,13,0.31,0.046,220.0,234.1
mixed/plate_0116.jpg,3,42,42,0.973,0.064,300.0,227.7
mixed/plate_0116.jpg,1,33,33,0.873,0.061,220.0,263.6
mixed/plate_0116.jpg,0,34,34,0.911,0.061,220.0,248.4
mixed/plate_0116.jpg,2,41,41,0.499,0.06,300.0,273.0
mixed/plate_0117.jpg,0,9,9,0.976,0.071,120.0,102.1
mixed/plate_0117.jpg,2,24,24,0.997,0.052,120.0,79.9
mixed/plate_0117.jpg,3,21,21,1.0,0.051,150.0,154.0
mixed/plate_0117.jpg,1,46,46,1.0,0.047,150.0,147.7
mixed/plate_0118.jpg,1,37,37,0.605,0.082,300.0,270.2
mixed/plate_0118.jpg,0,47,47,1.0,0.073,150.0,97.1
mixed/plate_0118.jpg,3,12,12,0.977,0.064,220.0,185.5
mixed/plate_0118.jpg,2,42,42,0.965,0.055,300.0,307.6
mixed/plate_0119.jpg,1,22,22,0.982,0.072,120.0,106.5
mixed/plate_0119.jpg,0,18,18,0.995,0.07,220.0,227.0
mixed/plate_0119.jpg,2,8,8,0.969,0.062,220.0,201.9
mixed/plate_0119.jpg,3,24,24,1.0,0.054,120.0,124.4
mixed/plate_0120.jpg,1,41,3,0.629,0.078,220.0,350.8
mixed/plate_0120.jpg,2,30,18,0.518,0.067,220.0,201.4
mixed/plate_0120.jpg,0,38,38,0.995,0.039,300.0,277.5
mixed/plate_0120.jpg,3,27,27,0.949,0.03,150.0,160.4
